,QAS,HBD,QAS_xf,conductivity,cathodic_slope,anodic_slope,cathodic_potential,anodic_potential,potential_window,solid
34,Choline Chloride,Acetamide,0.8,,,,,,,True
35,Choline Chloride,Acetamide,0.9,,,,,,,True
36,Choline Chloride,"N,N-dimethylurea",0.1,,,,,,,True
37,Choline Chloride,"N,N-dimethylurea",0.2,,,,,,,True
38,Choline Chloride,"N,N-dimethylurea",0.3,,,,,,,True
39,Choline Chloride,"N,N-dimethylurea",0.35,,,,,,,True
40,Choline Chloride,"N,N-dimethylurea",0.4,,,,,,,True
41,Choline Chloride,"N,N-dimethylurea",0.45,,,,,,,True
42,Choline Chloride,"N,N-dimethylurea",0.5,,,,,,,True
43,Choline Chloride,"N,N-dimethylurea",0.55,,,,,,,True
44,Choline Chloride,"N,N-dimethylurea",0.6,,,,,,,True
45,Choline Chloride,"N,N-dimethylurea",0.7,,,,,,,True
46,Choline Chloride,"N,N-dimethylurea",0.8,,,,,,,True
47,Choline Chloride,"N,N-dimethylurea",0.9,,,,,,,True
48,Choline Chloride,3-phenylpropionic acid,0.1,0.026,0.055,0.024,,,,True
49,Choline Chloride,3-phenylpropionic acid,0.2,0.216,0.358,0.261,-3.091,1.252,4.343,False
50,Choline Chloride,3-phenylpropionic acid,0.3,0.417,0.61,0.568,-2.845,1.224,4.069,False
51,Choline Chloride,3-phenylpropionic acid,0.35,,,,,,,True
52,Choline Chloride,3-phenylpropionic acid,0.4,,,,,,,True
53,Choline Chloride,3-phenylpropionic acid,0.45,,,,,,,True
54,Choline Chloride,3-phenylpropionic acid,0.5,,,,,,,True
55,Choline Chloride,3-phenylpropionic acid,0.55,,,,,,,True
56,Choline Chloride,3-phenylpropionic acid,0.6,,,,,,,True
57,Choline Chloride,3-phenylpropionic acid,0.7,,,,,,,True
58,Choline Chloride,3-phenylpropionic acid,0.8,,,,,,,True
59,Choline Chloride,3-phenylpropionic acid,0.9,,,,,,,True
60,Choline Chloride,Urea,0.1,,,,,,,True
61,Choline Chloride,Urea,0.2,,,,,,,True
62,Choline Chloride,Urea,0.3,2.701,1.661,2.343,-1.855,1.241,3.095,False
63,Choline Chloride,Urea,0.35,3.521,1.965,2.747,-1.851,1.233,3.083,False
64,Choline Chloride,Urea,0.4,4.053,2.146,2.915,-1.839,1.228,3.067,False
65,Choline Chloride,Urea,0.45,4.225,2.13,2.969,-1.801,1.208,3.009,False
66,Choline Chloride,Urea,0.5,4.083,2.23,3.018,-1.811,1.218,3.029,False
67,Choline Chloride,Urea,0.55,4.863,2.677,3.301,-1.814,1.204,3.017,False
68,Choline Chloride,Urea,0.6,4.999,2.556,3.36,-1.804,1.211,3.016,False
69,Choline Chloride,Urea,0.7,,,,,,,True
70,Choline Chloride,Urea,0.8,,,,,,,True
71,Choline Chloride,Urea,0.9,,,,,,,True
72,Choline Chloride,L-serine,0.1,,,,,,,True
73,Choline Chloride,L-serine,0.2,,,,,,,True
74,Choline Chloride,L-serine,0.3,,,,,,,True
75,Choline Chloride,L-serine,0.35,,,,,,,True
76,Choline Chloride,L-serine,0.4,,,,,,,True
77,Choline Chloride,L-serine,0.45,,,,,,,True
78,Choline Chloride,L-serine,0.5,,,,,,,True
79,Choline Chloride,L-serine,0.55,,,,,,,True
80,Choline Chloride,L-serine,0.6,,,,,,,True
81,Choline Chloride,L-serine,0.7,,,,,,,True
82,Choline Chloride,L-serine,0.8,,,,,,,True
83,Choline Chloride,L-serine,0.9,,,,,,,True
84,Choline Chloride,4-amino triazole,0.1,,,,,,,True
85,Choline Chloride,4-amino triazole,0.2,,,,,,,True
86,Choline Chloride,4-amino triazole,0.3,3.202,3.142,1.981,-1.829,1.119,2.948,False
87,Choline Chloride,4-amino triazole,0.35,3.352,3.282,1.875,-1.848,1.138,2.987,False
88,Choline Chloride,4-amino triazole,0.4,2.958,3.071,1.875,-1.877,1.162,3.039,False
89,Choline Chloride,4-amino triazole,0.45,3.019,2.964,1.825,-1.853,1.17,3.023,False
90,Choline Chloride,4-amino triazole,0.5,3.698,3.214,2.027,-1.874,1.181,3.055,False
91,Choline Chloride,4-amino triazole,0.55,3.255,2.99,2.052,-1.881,1.194,3.074,False
92,Choline Chloride,4-amino triazole,0.6,,,,,,,True
93,Choline Chloride,4-amino triazole,0.7,,,,,,,True
94,Choline Chloride,4-amino triazole,0.8,,,,,,,True
95,Choline Chloride,4-amino triazole,0.9,,,,,,,True
96,Choline Chloride,Xylitol,0.1,0.002,0.003,0.003,,,,True
97,Choline Chloride,Xylitol,0.2,,,,,,,True
98,Choline Chloride,Xylitol,0.3,0.074,0.114,0.101,-2.438,1.436,3.874,False
99,Choline Chloride,Xylitol,0.35,0.144,0.227,0.207,-2.234,1.289,3.523,False
100,Choline Chloride,Xylitol,0.4,0.203,0.319,0.256,-2.112,1.275,3.388,False
101,Choline Chloride,Xylitol,0.45,0.266,0.427,0.386,-2.088,1.239,3.327,False
102,Choline Chloride,Xylitol,0.5,0.444,0.635,0.636,-1.992,1.184,3.176,False
103,Choline Chloride,Xylitol,0.55,0.603,0.795,0.849,-1.959,1.171,3.13,False
104,Choline Chloride,Xylitol,0.6,0.884,0.98,1.216,-1.926,1.175,3.102,False
105,Choline Chloride,Xylitol,0.7,,,,,,,True
106,Choline Chloride,Xylitol,0.8,,,,,,,True
107,Choline Chloride,Xylitol,0.9,,,,,,,True
108,Choline Chloride,Phenylacetic acid,0.1,,,,,,,True
109,Choline Chloride,Phenylacetic acid,0.2,0.391,0.176,0.126,,,,True
110,Choline Chloride,Phenylacetic acid,0.3,0.759,0.451,0.531,-3.207,1.231,4.439,False
111,Choline Chloride,Phenylacetic acid,0.35,0.673,0.33,0.378,,,,True
112,Choline Chloride,Phenylacetic acid,0.4,0.904,0.673,0.661,,,,True
113,Choline Chloride,Phenylacetic acid,0.45,,,,,,,True
114,Choline Chloride,Phenylacetic acid,0.5,,,,,,,True
115,Choline Chloride,Phenylacetic acid,0.55,,,,,,,True
116,Choline Chloride,Phenylacetic acid,0.6,,,,,,,True
117,Choline Chloride,Phenylacetic acid,0.7,,,,,,,True
118,Choline Chloride,Phenylacetic acid,0.8,,,,,,,True
119,Choline Chloride,Phenylacetic acid,0.9,,,,,,,True
120,Acetylcholine Chloride,Ethylene Glycol,0.1,10.469,3.732,4.97,-1.676,1.127,2.803,False
121,Acetylcholine Chloride,Ethylene Glycol,0.2,19.63,4.398,5.688,-1.742,1.119,2.86,False
122,Acetylcholine Chloride,Ethylene Glycol,0.3,13.736,4.191,5.758,-1.745,1.128,2.874,False
123,Acetylcholine Chloride,Ethylene Glycol,0.35,8.259,3.755,4.744,-1.741,1.144,2.885,False
124,Acetylcholine Chloride,Ethylene Glycol,0.4,8.76,3.811,4.811,-1.701,1.153,2.855,False
125,Acetylcholine Chloride,Ethylene Glycol,0.45,6.964,3.422,3.911,-1.702,1.168,2.87,False
126,Acetylcholine Chloride,Ethylene Glycol,0.5,5.014,3.073,3.186,-1.725,1.173,2.897,False
127,Acetylcholine Chloride,Ethylene Glycol,0.55,3.665,2.594,2.765,-1.793,1.176,2.968,False
128,Acetylcholine Chloride,Ethylene Glycol,0.6,2.799,2.333,2.565,-1.826,1.178,3.004,False
129,Acetylcholine Chloride,Ethylene Glycol,0.7,1.635,1.626,1.738,-1.757,1.202,2.959,False
130,Acetylcholine Chloride,Ethylene Glycol,0.8,1.094,1.219,1.278,-1.645,1.204,2.849,False
131,Acetylcholine Chloride,Ethylene Glycol,0.9,0.668,0.844,0.945,-1.655,1.217,2.871,False
132,Acetylcholine Chloride,Glycerol,0.1,0.507,0.705,0.688,-1.855,1.165,3.02,False
133,Acetylcholine Chloride,Glycerol,0.2,1.006,1.175,1.301,-1.838,1.156,2.994,False
134,Acetylcholine Chloride,Glycerol,0.3,1.455,1.446,1.567,-1.839,1.149,2.989,False
135,Acetylcholine Chloride,Glycerol,0.35,1.446,1.457,1.64,-1.853,1.155,3.008,False
136,Acetylcholine Chloride,Glycerol,0.4,1.345,1.455,1.62,-1.858,1.159,3.017,False
137,Acetylcholine Chloride,Glycerol,0.45,1.322,1.407,1.477,-1.841,1.166,3.008,False
138,Acetylcholine Chloride,Glycerol,0.5,1.16,1.261,1.315,-1.843,1.189,3.032,False
139,Acetylcholine Chloride,Glycerol,0.55,1.068,1.186,1.242,-1.844,1.195,3.039,False
140,Acetylcholine Chloride,Glycerol,0.6,0.985,1.114,1.174,-1.814,1.211,3.025,False
141,Acetylcholine Chloride,Glycerol,0.7,0.772,0.908,0.95,-1.811,1.199,3.01,False
142,Acetylcholine Chloride,Glycerol,0.8,0.69,0.818,0.897,-1.746,1.226,2.972,False
143,Acetylcholine Chloride,Glycerol,0.9,0.63,0.748,0.854,-1.756,1.23,2.985,False
144,Acetylcholine Chloride,Acetamide,0.1,,,,,,,True
145,Acetylcholine Chloride,Acetamide,0.2,2.665,3.636,3.67,-1.768,1.103,2.871,False
146,Acetylcholine Chloride,Acetamide,0.3,1.868,2.589,2.84,-1.784,1.135,2.918,False
147,Acetylcholine Chloride,Acetamide,0.35,1.647,2.428,2.597,-1.778,1.147,2.925,False
148,Acetylcholine Chloride,Acetamide,0.4,1.429,2.024,1.953,-1.784,1.15,2.934,False
149,Acetylcholine Chloride,Acetamide,0.45,1.307,1.75,1.538,-1.781,1.162,2.943,False
150,Acetylcholine Chloride,Acetamide,0.5,1.121,1.528,1.461,-1.8,1.164,2.964,False
151,Acetylcholine Chloride,Acetamide,0.55,0.921,1.373,1.536,-1.792,1.177,2.969,False
152,Acetylcholine Chloride,Acetamide,0.6,0.864,1.224,0.907,-1.794,1.182,2.976,False
153,Acetylcholine Chloride,Acetamide,0.7,0.8,1.088,0.907,-1.817,1.19,3.006,False
154,Acetylcholine Chloride,Acetamide,0.8,0.712,0.899,0.969,-1.809,1.206,3.016,False
155,Acetylcholine Chloride,Acetamide,0.9,0.63,0.813,0.809,-1.838,1.221,3.059,False
156,Acetylcholine Chloride,"N,N-dimethylurea",0.1,,,,,,,True
157,Acetylcholine Chloride,"N,N-dimethylurea",0.2,,,,,,,True
158,Acetylcholine Chloride,"N,N-dimethylurea",0.3,,,,,,,True
159,Acetylcholine Chloride,"N,N-dimethylurea",0.35,,,,,,,True
160,Acetylcholine Chloride,"N,N-dimethylurea",0.4,1.161,1.515,1.725,-1.87,1.178,3.049,False
161,Acetylcholine Chloride,"N,N-dimethylurea",0.45,0.993,1.465,1.7,-1.868,1.177,3.045,False
162,Acetylcholine Chloride,"N,N-dimethylurea",0.5,0.859,1.19,1.323,-1.881,1.187,3.069,False
163,Acetylcholine Chloride,"N,N-dimethylurea",0.55,0.826,1.164,1.228,-1.877,1.199,3.077,False
164,Acetylcholine Chloride,"N,N-dimethylurea",0.6,0.747,1.01,0.733,-1.886,1.201,3.087,False
165,Acetylcholine Chloride,"N,N-dimethylurea",0.7,0.673,0.927,0.841,-1.875,1.219,3.094,False
166,Acetylcholine Chloride,"N,N-dimethylurea",0.8,0.683,0.898,0.908,-1.863,1.207,3.071,False
167,Acetylcholine Chloride,"N,N-dimethylurea",0.9,0.634,0.819,0.852,-1.909,1.204,3.112,False
168,Acetylcholine Chloride,3-phenylpropionic acid,0.1,0.061,0.112,0.048,-1.722,1.641,3.362,False
169,Acetylcholine Chloride,3-phenylpropionic acid,0.2,0.19,0.321,0.217,-1.853,1.255,3.108,False
170,Acetylcholine Chloride,3-phenylpropionic acid,0.3,0.229,0.386,0.328,-1.897,1.187,3.083,False
171,Acetylcholine Chloride,3-phenylpropionic acid,0.35,0.179,0.366,0.324,-1.924,1.212,3.136,False
172,Acetylcholine Chloride,3-phenylpropionic acid,0.4,0.212,0.382,0.338,-1.935,1.22,3.155,False
173,Acetylcholine Chloride,3-phenylpropionic acid,0.45,0.206,0.38,0.336,-1.942,1.221,3.163,False
174,Acetylcholine Chloride,3-phenylpropionic acid,0.5,0.229,0.381,0.344,-1.918,1.227,3.145,False
175,Acetylcholine Chloride,3-phenylpropionic acid,0.55,0.258,0.44,0.388,-1.874,1.219,3.093,False
176,Acetylcholine Chloride,3-phenylpropionic acid,0.6,0.204,0.417,0.378,-1.877,1.227,3.103,False
177,Acetylcholine Chloride,3-phenylpropionic acid,0.7,0.23,0.425,0.404,-1.866,1.227,3.093,False
178,Acetylcholine Chloride,3-phenylpropionic acid,0.8,0.307,0.55,0.552,-1.839,1.221,3.06,False
179,Acetylcholine Chloride,3-phenylpropionic acid,0.9,0.421,0.63,0.645,-1.845,1.222,3.067,False
180,Acetylcholine Chloride,Urea,0.1,,,,,,,True
181,Acetylcholine Chloride,Urea,0.2,0.487,0.656,0.62,-1.972,1.311,3.284,False
182,Acetylcholine Chloride,Urea,0.3,0.475,0.628,0.578,-1.955,1.293,3.248,False
183,Acetylcholine Chloride,Urea,0.35,0.437,0.589,0.533,-1.918,1.302,3.22,False
184,Acetylcholine Chloride,Urea,0.4,0.455,0.591,0.511,-1.903,1.304,3.207,False
185,Acetylcholine Chloride,Urea,0.45,0.43,0.559,0.521,-1.874,1.309,3.183,False
186,Acetylcholine Chloride,Urea,0.5,0.397,0.575,0.542,-1.872,1.279,3.151,False
187,Acetylcholine Chloride,Urea,0.55,0.398,0.587,0.568,-1.869,1.263,3.132,False
188,Acetylcholine Chloride,Urea,0.6,0.422,0.587,0.545,-1.862,1.268,3.129,False
189,Acetylcholine Chloride,Urea,0.7,0.447,0.613,0.603,-1.84,1.245,3.085,False
190,Acetylcholine Chloride,Urea,0.8,0.475,0.638,0.611,-1.821,1.234,3.054,False
191,Acetylcholine Chloride,Urea,0.9,0.495,0.669,0.659,-1.791,1.238,3.029,False
192,Acetylcholine Chloride,L-serine,0.1,,,,,,,True
193,Acetylcholine Chloride,L-serine,0.2,,,,,,,True
194,Acetylcholine Chloride,L-serine,0.3,,,,,,,True
195,Acetylcholine Chloride,L-serine,0.35,,,,,,,True
196,Acetylcholine Chloride,L-serine,0.4,,,,,,,True
197,Acetylcholine Chloride,L-serine,0.45,,,,,,,True
198,Acetylcholine Chloride,L-serine,0.5,,,,,,,True
199,Acetylcholine Chloride,L-serine,0.55,,,,,,,True
200,Acetylcholine Chloride,L-serine,0.6,,,,,,,True
201,Acetylcholine Chloride,L-serine,0.7,,,,,,,True
202,Acetylcholine Chloride,L-serine,0.8,,,,,,,True
203,Acetylcholine Chloride,L-serine,0.9,,,,,,,True
204,Acetylcholine Chloride,4-amino triazole,0.1,,,,,,,True
205,Acetylcholine Chloride,4-amino triazole,0.2,1.37,1.672,1.148,-1.836,1.068,2.904,False
206,Acetylcholine Chloride,4-amino triazole,0.3,1.172,1.464,1.018,-1.856,1.086,2.943,False
207,Acetylcholine Chloride,4-amino triazole,0.35,0.872,1.088,0.747,-1.876,1.132,3.008,False
208,Acetylcholine Chloride,4-amino triazole,0.4,0.856,1.069,0.818,-1.874,1.142,3.016,False
209,Acetylcholine Chloride,4-amino triazole,0.45,0.771,0.966,0.707,-1.85,1.167,3.016,False
210,Acetylcholine Chloride,4-amino triazole,0.5,0.7,0.936,0.7,-1.826,1.209,3.035,False
211,Acetylcholine Chloride,4-amino triazole,0.55,0.709,0.915,0.685,-1.849,1.223,3.072,False
212,Acetylcholine Chloride,4-amino triazole,0.6,0.651,0.78,0.632,-1.867,1.231,3.098,False
213,Acetylcholine Chloride,4-amino triazole,0.7,0.61,0.743,0.617,-1.868,1.301,3.169,False
214,Acetylcholine Chloride,4-amino triazole,0.8,0.554,0.757,0.627,-1.911,1.286,3.198,False
215,Acetylcholine Chloride,4-amino triazole,0.9,0.539,0.76,0.698,-1.901,1.25,3.151,False
216,Acetylcholine Chloride,Xylitol,0.1,0.002,0.003,0.002,,,,True
217,Acetylcholine Chloride,Xylitol,0.2,0.008,0.017,0.007,,,,True
218,Acetylcholine Chloride,Xylitol,0.3,0.02,0.052,0.028,,,,True
219,Acetylcholine Chloride,Xylitol,0.35,,,,,,,True
220,Acetylcholine Chloride,Xylitol,0.4,0.042,0.096,0.056,-3.616,1.111,4.727,False
221,Acetylcholine Chloride,Xylitol,0.45,0.058,0.118,0.069,,,,True
222,Acetylcholine Chloride,Xylitol,0.5,0.068,0.128,0.092,-3.059,1.301,4.361,False
223,Acetylcholine Chloride,Xylitol,0.55,0.114,0.205,0.145,-2.358,1.295,3.653,False
224,Acetylcholine Chloride,Xylitol,0.6,0.107,0.265,0.147,-2.224,1.201,3.425,False
225,Acetylcholine Chloride,Xylitol,0.7,0.094,0.222,0.171,-2.236,1.194,3.43,False
226,Acetylcholine Chloride,Xylitol,0.8,0.146,0.256,0.23,-1.898,1.246,3.143,False
227,Acetylcholine Chloride,Xylitol,0.9,0.416,0.546,0.557,-1.884,1.222,3.106,False
228,Acetylcholine Chloride,Phenylacetic acid,0.1,,,,,,,True
229,Acetylcholine Chloride,Phenylacetic acid,0.2,,,,,,,True
230,Acetylcholine Chloride,Phenylacetic acid,0.3,0.36,0.542,0.535,-1.262,1.201,2.463,False
231,Acetylcholine Chloride,Phenylacetic acid,0.35,0.373,0.49,0.482,-1.351,1.189,2.54,False
232,Acetylcholine Chloride,Phenylacetic acid,0.4,0.308,0.422,0.405,-1.503,1.198,2.7,False
233,Acetylcholine Chloride,Phenylacetic acid,0.45,0.435,0.556,0.561,-1.35,1.223,2.573,False
234,Acetylcholine Chloride,Phenylacetic acid,0.5,0.273,0.439,0.386,-1.853,1.185,3.038,False
235,Acetylcholine Chloride,Phenylacetic acid,0.55,0.276,0.435,0.382,-1.878,1.203,3.081,False
236,Acetylcholine Chloride,Phenylacetic acid,0.6,0.246,0.415,0.362,-1.865,1.212,3.077,False
237,Acetylcholine Chloride,Phenylacetic acid,0.7,0.268,0.427,0.374,-1.847,1.234,3.081,False
238,Acetylcholine Chloride,Phenylacetic acid,0.8,0.253,0.403,0.372,-1.873,1.235,3.108,False
239,Acetylcholine Chloride,Phenylacetic acid,0.9,0.27,0.412,0.383,-1.91,1.236,3.147,False
240,Tetraethylammonium Chloride,Ethylene Glycol,0.1,4.751,2.92,3.862,-1.599,1.126,2.725,False
241,Tetraethylammonium Chloride,Ethylene Glycol,0.2,6.398,3.667,4.446,-1.656,1.142,2.798,False
242,Tetraethylammonium Chloride,Ethylene Glycol,0.3,4.137,3.137,3.333,-1.752,1.154,2.906,False
243,Tetraethylammonium Chloride,Ethylene Glycol,0.35,5.77,3.723,3.975,-1.713,1.158,2.872,False
244,Tetraethylammonium Chloride,Ethylene Glycol,0.4,4.79,3.558,3.601,-1.704,1.165,2.869,False
245,Tetraethylammonium Chloride,Ethylene Glycol,0.45,4.713,3.482,3.521,-1.708,1.18,2.888,False
246,Tetraethylammonium Chloride,Ethylene Glycol,0.5,5.097,3.393,3.225,-1.73,1.179,2.91,False
247,Tetraethylammonium Chloride,Ethylene Glycol,0.55,,,,,,,True
248,Tetraethylammonium Chloride,Ethylene Glycol,0.6,,,,,,,True
249,Tetraethylammonium Chloride,Ethylene Glycol,0.7,,,,,,,True
250,Tetraethylammonium Chloride,Ethylene Glycol,0.8,,,,,,,True
251,Tetraethylammonium Chloride,Ethylene Glycol,0.9,,,,,,,True
252,Tetraethylammonium Chloride,Glycerol,0.1,0.38,0.506,0.534,-1.84,1.177,3.017,False
253,Tetraethylammonium Chloride,Glycerol,0.2,0.669,0.869,0.862,-1.901,1.151,3.053,False
254,Tetraethylammonium Chloride,Glycerol,0.3,1.077,1.325,1.361,-1.881,1.166,3.047,False
255,Tetraethylammonium Chloride,Glycerol,0.35,1.305,1.589,1.587,-1.871,1.173,3.044,False
256,Tetraethylammonium Chloride,Glycerol,0.4,1.379,1.67,1.741,-1.859,1.181,3.04,False
257,Tetraethylammonium Chloride,Glycerol,0.45,1.368,1.661,1.591,-1.854,1.193,3.046,False
258,Tetraethylammonium Chloride,Glycerol,0.5,1.735,2.002,1.976,-1.832,1.19,3.022,False
259,Tetraethylammonium Chloride,Glycerol,0.55,1.715,1.954,1.919,-1.823,1.195,3.018,False
260,Tetraethylammonium Chloride,Glycerol,0.6,1.52,1.801,1.723,-1.817,1.214,3.031,False
261,Tetraethylammonium Chloride,Glycerol,0.7,,,,,,,True
262,Tetraethylammonium Chloride,Glycerol,0.8,,,,,,,True
263,Tetraethylammonium Chloride,Glycerol,0.9,,,,,,,True
264,Tetraethylammonium Chloride,Acetamide,0.1,,,,,,,True
265,Tetraethylammonium Chloride,Acetamide,0.2,1.693,2.236,2.196,-1.824,1.15,2.974,False
266,Tetraethylammonium Chloride,Acetamide,0.3,1.325,1.966,1.627,-1.824,1.164,2.988,False
267,Tetraethylammonium Chloride,Acetamide,0.35,1.484,1.951,1.71,-1.815,1.172,2.987,False
268,Tetraethylammonium Chloride,Acetamide,0.4,1.264,1.795,1.576,-1.814,1.178,2.992,False
269,Tetraethylammonium Chloride,Acetamide,0.45,1.311,1.695,1.537,-1.776,1.205,2.981,False
270,Tetraethylammonium Chloride,Acetamide,0.5,,,,,,,True
271,Tetraethylammonium Chloride,Acetamide,0.55,,,,,,,True
272,Tetraethylammonium Chloride,Acetamide,0.6,,,,,,,True
273,Tetraethylammonium Chloride,Acetamide,0.7,,,,,,,True
274,Tetraethylammonium Chloride,Acetamide,0.8,,,,,,,True
275,Tetraethylammonium Chloride,Acetamide,0.9,,,,,,,True
276,Tetraethylammonium Chloride,"N,N-dimethylurea",0.1,,,,,,,True
277,Tetraethylammonium Chloride,"N,N-dimethylurea",0.2,,,,,,,True
278,Tetraethylammonium Chloride,"N,N-dimethylurea",0.3,1.81,2.184,2.006,-1.815,1.176,2.991,False
279,Tetraethylammonium Chloride,"N,N-dimethylurea",0.35,1.92,2.279,2.038,-1.795,1.177,2.972,False
280,Tetraethylammonium Chloride,"N,N-dimethylurea",0.4,1.87,2.259,1.963,-1.81,1.195,3.005,False
281,Tetraethylammonium Chloride,"N,N-dimethylurea",0.45,1.798,1.984,1.802,-1.803,1.206,3.009,False
282,Tetraethylammonium Chloride,"N,N-dimethylurea",0.5,,,,,,,True
283,Tetraethylammonium Chloride,"N,N-dimethylurea",0.55,,,,,,,True
284,Tetraethylammonium Chloride,"N,N-dimethylurea",0.6,,,,,,,True
285,Tetraethylammonium Chloride,"N,N-dimethylurea",0.7,,,,,,,True
286,Tetraethylammonium Chloride,"N,N-dimethylurea",0.8,,,,,,,True
287,Tetraethylammonium Chloride,"N,N-dimethylurea",0.9,,,,,,,True
288,Tetraethylammonium Chloride,3-phenylpropionic acid,0.1,0.159,0.23,0.123,-1.541,1.594,3.135,False
289,Tetraethylammonium Chloride,3-phenylpropionic acid,0.2,0.307,0.539,0.416,-1.795,1.165,2.961,False
290,Tetraethylammonium Chloride,3-phenylpropionic acid,0.3,0.404,0.682,0.476,-1.849,1.193,3.042,False
291,Tetraethylammonium Chloride,3-phenylpropionic acid,0.35,0.398,0.701,0.477,-1.878,1.213,3.092,False
292,Tetraethylammonium Chloride,3-phenylpropionic acid,0.4,0.439,0.718,0.491,-2.004,1.261,3.265,False
293,Tetraethylammonium Chloride,3-phenylpropionic acid,0.45,0.412,0.744,0.519,-2.336,1.262,3.599,False
294,Tetraethylammonium Chloride,3-phenylpropionic acid,0.5,,,,,,,True
295,Tetraethylammonium Chloride,3-phenylpropionic acid,0.55,,,,,,,True
296,Tetraethylammonium Chloride,3-phenylpropionic acid,0.6,,,,,,,True
297,Tetraethylammonium Chloride,3-phenylpropionic acid,0.7,,,,,,,True
298,Tetraethylammonium Chloride,3-phenylpropionic acid,0.8,,,,,,,True
299,Tetraethylammonium Chloride,3-phenylpropionic acid,0.9,,,,,,,True
300,Tetraethylammonium Chloride,Urea,0.1,,,,,,,True
301,Tetraethylammonium Chloride,Urea,0.2,,,,,,,True
302,Tetraethylammonium Chloride,Urea,0.3,,,,,,,True
303,Tetraethylammonium Chloride,Urea,0.35,,,,,,,True
304,Tetraethylammonium Chloride,Urea,0.4,,,,,,,True
305,Tetraethylammonium Chloride,Urea,0.45,,,,,,,True
306,Tetraethylammonium Chloride,Urea,0.5,,,,,,,True
307,Tetraethylammonium Chloride,Urea,0.55,,,,,,,True
308,Tetraethylammonium Chloride,Urea,0.6,,,,,,,True
309,Tetraethylammonium Chloride,Urea,0.7,,,,,,,True
310,Tetraethylammonium Chloride,Urea,0.8,,,,,,,True
311,Tetraethylammonium Chloride,Urea,0.9,,,,,,,True
312,Tetraethylammonium Chloride,L-serine,0.1,,,,,,,True
313,Tetraethylammonium Chloride,L-serine,0.2,,,,,,,True
314,Tetraethylammonium Chloride,L-serine,0.3,,,,,,,True
315,Tetraethylammonium Chloride,L-serine,0.35,,,,,,,True
316,Tetraethylammonium Chloride,L-serine,0.4,,,,,,,True
317,Tetraethylammonium Chloride,L-serine,0.45,,,,,,,True
318,Tetraethylammonium Chloride,L-serine,0.5,,,,,,,True
319,Tetraethylammonium Chloride,L-serine,0.55,,,,,,,True
320,Tetraethylammonium Chloride,L-serine,0.6,,,,,,,True
