id,allelectrons_Total,density_Total,allelectrons_Average,val_e_Average,atomicweight_Average,ionenergy_Average,el_neg_chi_Average,R_vdw_element_Average,R_cov_element_Average,zaratio_Average,density_Average,Hardness
35,46,7.134332,11.6,4.8,23.231818,11.11696,2.796,1.702,0.86,0.492736,1.95335,6
36,43,7.4428315,8.6,4,17.7903568,11.43734,2.755,1.631,0.828,0.498984,0.56349,2.5
37,128,11.463996,12.8,4.8,26.385218,11.38168,2.81,1.74,0.86,0.49282,1.26278,6.3
38,106,11.463996,35.36,4.8,72.2365,10.13144,2.352,1.82,1.104,0.475566,5.50017,2
39,144,15.55,48,4,116.3255,10.39875,2.24,2.015,1.18,0.448895,7.775,2
40,236.18,24.574384,23.6,4.8,49.204038,10.59066,2.706,1.859,0.958,0.467304,4.28689,2
41,30,1.7428315,6,4,11.7051,11.7051,2.6725,1.495,0.71,0.6184925,0.69207,2.5
42,362,3.883996,8.7,4.7,16.862138,11.95216,2.682,1.495,0.71,0.491678,0.61167,5.5
43,126,13.385996,25.2,5.6,58.303418,11.61422,2.884,1.736,0.944,0.467568,4.57578,2.8
44,100,8.841328,10,5.333333333,20.32523675,11.75441667,2.938333333,1.716666667,0.893333333,0.496691667,0.8488,6.5
45,80,5.686908,10,5,20.25527838,11.70255,2.79,1.66,0.8525,0.4931925,0.86162,6.3
46,90,11.437322,21.5,4,50.1811,10.0743,2.53,1.825,1.165,0.47899,1.24533,3
47,66,4.542664,12.66666667,4.666666667,26.62168667,11.35476667,2.806666667,1.75,0.98,0.486506667,1.24267,5.8
48,144,8.941324,12,4.8,24.033618,11.17714,2.675,1.736,0.936,0.491678,0.85401,6
49,196,20.855328,24.66666667,4.666666667,53.05033333,11.79596667,2.848,1.728333333,0.98,0.473696667,4.57578,6
50,100,7.558488,8,5,16.58382167,12.41584667,2.77,1.450833333,0.71,0.6184925,0.65972,3.5
51,151,22.98,50.33333333,4.333333333,121.0227333,8.5318,2.043333333,2.076666667,1.366666667,0.41692,0.75193,1.8
52,108,7.558488,10.8,4.8,21.654418,10.59066,2.684,1.788,0.958,0.498454,0.4966,6
53,20,0.97258,10,4,20.99408622,11.28095,2.455,1.87,1.55,0.48273,0.45291,2.3
54,92,6.697992,9.2,4.8,18.439538,11.79886,2.805,1.656,0.848,0.499196,0.51772,3.5
55,256,23.627328,12,4.625,24.5149199,11.1994,2.782857143,1.7265625,0.850344828,0.493379375,0.91457,5.5
56,82,13.385996,23.6,4.8,49.204038,11.33044,2.884,1.736,0.946,0.467304,2.62853,6
57,108,11.463996,44,5.6,108.295515,10.75912,2.572,1.796,1.028,0.476196,5.00311,2
58,108,18.20589925,18,4,37.346215,11.4348,2.79,1.732,0.98,0.486265,2.37558,6
59,43,7.44274775,10.75,3.75,22.212725,12.18425,2.7275,1.545,0.71,0.61443,1.06784,5
60,36,0.864995,18,4,37.346215,8.65415,1.99,2.25,1.5,0.48273,0.37005,2
61,582,61.671971,23.5,4.4,49.22444938,11.20276,2.834,1.788,0.939,0.4704,4.5665,6
62,131,26.745328,15.5,5,33.47491111,11.2869,2.786666667,1.716666667,0.893333333,0.486506667,1.70155,5.5
63,116,8.337992,10.4,4.8,21.98931204,10.73364,2.6184,1.66,0.91,0.491714,0.49717,5.5
64,92,8.147992,8.92,4.7,16.49756,12.20004,2.828,1.648,0.694,0.498984,0.77525,3.8
65,1894,25.021992,7.944444444,4.388888889,16.21069894,11.46752222,2.688333333,1.544444444,0.735555556,0.601608889,0.54957,2.5
66,30,2.332664,10.33333333,5.333333333,20.02735333,11.79596667,2.926666667,1.713333333,0.806666667,0.499506667,1.42823,7
67,30,2.70174775,7.5,4,14.99685963,11.7051,2.6725,1.495,0.71,0.6184925,0.56215,3.8
68,192,15.751996,48,4,114.97573,8.21315,2.295,2.045,1.36,0.448895,7.715,2.5
69,246,24.150564,23,4.8,49.204038,10.59066,2.644,1.7775,0.946,0.48827,3.1504,2.8
70,250,14.7341515,12.8,4.8,25.38655689,11.14446,2.352,1.732,0.864,0.482036,1.22872,3.8
71,56,9.683996,12.8,4.8,26.385218,11.38168,2.824,1.682,0.824,0.48855,1.83476,2.5
72,106,19.189144,22.8,4.8,47.31542253,11.61422,2.824,1.711,0.923,0.483071455,3.17705,4.5
73,38,1.55316,12.66666667,4.666666667,26.02493544,13.65293333,2.986666667,1.75,0.98,0.482156667,1.3748,4
74,58,7.441332,18,5,39.466738,10.59066,2.545,1.765,0.905,0.476095,1.05605,7.3
75,36,3.55,18,4,36.0685,8.2366,1.79,2.055,1.39,0.499,1.42396,4
76,80,7.73466,10,4,20.25527838,11.026725,2.79,1.6725,0.8525,0.495275,1.02525,7.5
77,582,73.7901355,10.875,4.625,22.20604333,10.85110625,2.6703125,1.788125,0.94625,0.475902775,0.42774,3.8
78,96,15.55,48,2,116.3255,10.39875,2.24,2.015,1.18,0.448895,7.66,3
79,192,38.191,48,2,111.34115,8.12415,1.96,2.0975,1.37,0.4315125,0.45749,3.8
80,128,20.415992,12.8,4.8,26.385218,11.38168,2.81,1.74,0.98,0.489272,3.52072,6
81,196,26.09,24.5,4.5,53.4902975,9.8771,2.295,1.825,1.12,0.474324,4.74,2.5
82,55,9.577996,11.6,4.8,23.170338,12.0034,2.828,1.662,0.782,0.493032,1.12352,2.8
83,6,1.7,6,4,11.663548,11.70255,2.58,1.495,0.71,0.49954,0.58543,10
84,131,20.855328,21,4.666666667,50.54252,11.70646667,2.806666667,1.713333333,0.92,0.473746667,4.5665,5.8
85,235,24.70666,23.5,5.5,65.80676875,11.6604875,2.9225,1.68,1.1,0.47382125,3.08833,1.8
86,296,17.215328,28.19047619,5,67.4408981,11.56505238,2.76,1.70952381,0.964285714,0.460422857,3.47589,3
87,108,11.351332,36,6,90.2267,10.629,2.675,1.745,0.956,0.47907,3.3354,2.5
88,74,20.362,24.66666667,4,53.05033333,9.159866667,2.18,1.913333333,1.213333333,0.448826667,4.52755,3.8
89,114,14.883996,12.8,5.6,26.1647257,10.56518,2.708,1.648,0.88,0.492736,2.8386,6
90,202,22.81264,20.2,5.6,47.31542253,11.38168,2.81,1.742,0.86,0.478464,3.52072,6
91,96,13.35,12,4,24.50301875,10.629,2.545,1.925,0.905,0.49111,1.25093,3.8
92,347,32.73539975,42.25,5.375,93.8846,9.370384,2.53,1.8153125,1.01125,0.439165,5.56317,3.5
93,80,7.73466,10,5,20.25527838,11.026725,2.79,1.6725,0.8525,0.495275,0.73425,7.5
94,100,8.885992,10,4.8,20.077018,11.33044,2.754,1.742,0.86,0.498454,0.94589,5.5
95,108,7.134332,10.5,4.8,21.654418,11.17714,2.727,1.767,0.91,0.498454,0.7176,6
96,66,9.577996,13.8,4.8,27.188418,10.629,2.572,1.79,0.956,0.466061,1.50239,5.5
97,86,5.203996,11.6,4.8,22.52187185,11.43734,2.752,1.727,0.946,0.490932,0.80631,3.5
98,42,5.401996,20.4,4.8,43.498522,12.59399,2.828,1.664,0.946,0.475954,2.32089,5
99,42,0,0,4,0,0.026725,2.727,1.767,0,0,0.80212,6
100,136,8.359328,10.83333333,5.166666667,20.02735333,11.74963333,2.806666667,1.716666667,0.89,0.496691667,0.74511,5.5
101,224,10.065992,11.6,4.8,23.170338,10.98774,2.752,1.742,0.87,0.4931705,1.10889,6
102,196,30.92,24.5,5.5,53.4902975,9.273855,2.295,1.88,1.14,0.469715,0.99311,3.8
103,100,15.43,50,4,117.386335,9.01375,2.295,2.045,1.36,0.42668,0.45758,2.5
104,124,21.124328,22.83333333,4.666666667,47.98568667,11.40826667,2.926666667,1.756666667,0.98,0.472266667,5.118,2.8
105,112,13.611328,13.42222222,4.444444444,27.60901667,12.05372778,2.986666667,1.781333333,0.976666667,0.483768889,2.2928,6
106,72,10.209328,12,4.666666667,24.65418667,11.75441667,2.915,1.703333333,0.823333333,0.49402,1.17448,6
107,200,17.053984,10,4,20.32203565,12.4096875,2.81875,1.60125,0.91,0.492719,0.77105,5.3
108,6,1.7,6,4,12.0096,11.2603,2.55,1.7,0.75,0.49954,0.13266,10
109,185,11.351332,27.6,4.8,65.80676875,11.026725,2.53,1.88,0.944,0.47754,3.8764,3.8
110,80,7.736488,8.888888889,4.444444444,17.77455444,11.45875556,2.852222222,1.726666667,0.827777778,0.480154444,1.06784,8.5
111,93,26.09,31.1,4.8,69.592128,9.65936,1.98,1.907,1.1925,0.448895,6.46538,2.3
112,108,8.337992,10,4.8,20.077018,11.33044,2.706,1.678,0.914,0.498984,0.70966,6
113,38,8.359328,18.66666667,5.333333333,41.08166,11.35476667,2.806666667,1.723333333,0.92,0.486506667,2.8386,6.5
114,62,6.394996,20.33333333,4.666666667,46.52035333,11.2347,2.865,1.716666667,0.92,0.487833333,1.95335,4.3
115,46,5.191326,17.7139714,4.631578947,40.00710326,10.88956585,2.872631579,1.714634146,0.940634921,0.478124211,4.57578,5.8
116,56,7.558488,10.6,4.8,20.29889263,12.04083,2.752,1.688,0.938,0.492719,1.8288,3.8
117,92,7.558488,9.96,4.44,18.54653572,12.04083,2.825,1.626,0.9368,0.492719,0.69519,6
118,100,7.558488,10,4.8,20.29889263,12.04083,2.755,1.631,0.828,0.5570996,0.67383,5.5
119,884,121.42,35.36,5.28,82.56124,9.370384,2.298,1.9072,1.2,0.4618992,5.50017,2.5
120,100,7.558488,10.6,4.8,20.7936114,11.33182,2.826,1.68,0.864,0.499196,0.74876,5.5
121,36,3.55,18,4,36.0685,8.2366,1.79,2.055,1.39,0.49897,1.0359,4
122,98,15.593,49,5,119.6295,9.05335,2.24,2.015,1.18,0.448895,8.795,2.3
123,100,20.29466,28.8,5.6,67.9394,10.75912,2.904,1.904,1.165,0.467304,3.26959,2.5
124,86,5.62148,8.6,4.8,17.7903568,12.59399,2.68,1.592,0.738,0.59004,0.58344,4.3
125,68,6.017992,13.6,4.8,29.568292,12.30176,2.884,1.654,0.774,0.499726,1.70601,3.5
126,192,13.385996,15.2,4.8,31.937418,11.14446,2.774,1.728,0.9,0.482036,1.15072,6
127,108,1.7957992,10.8,4.8,21.82420185,11.02384,2.644,1.794,0.96,0.499514,0.79955,5.8
128,219,41.181992,24.66666667,4.444444444,57.08166,11.63446667,2.953333333,1.733333333,0.915555556,0.470563333,4.57578,6
129,112,13.897328,17.2,4.8,39.466738,11.64556,2.752,1.676,0.912,0.478464,1.89676,5.3
130,176,9.93196,8.88,4.4,18.58636114,11.33044,2.706,1.678,0.892,0.49111,0.48629,6
131,70,5.815328,10,4.571428571,20.32331386,12.61171429,2.612857143,1.641428571,0.884285714,0.493918571,0.51006,2.3
132,138,16.676996,10,4.8,20.077018,11.33044,2.796,1.728,0.88,0.498454,0.93524,3.8
133,70,3.555328,4.666666667,3.2,8.808713333,13.51252,2.668,1.318666667,0.505333333,0.762368667,0.13389,2.3
134,108,16.864992,31.1,5,70.86454625,9.1312,1.985,1.88,1.195,0.467568,3.958,2.5
135,38,10.082327,12.66666667,4.666666667,26.62168667,11.49691667,2.825,1.726666667,0.808333333,0.486506667,1.31763,6.3
136,242,59.27039175,11.6,4.6,24.085483,12.22274,2.68,1.592,0.836,0.59942625,1.7909,5
137,58,6.542664,19.33333333,4.666666667,39.98766667,11.8264,2.33,1.7,0.92,0.446356667,1.02525,2.5
138,790,105.514,39.5,5.6,93.78445,9.273855,2.279,1.9072,1.2145,0.457149,5.10922,2.8
139,322,22.81264,20.2,4,47.31542253,12.0034,3.443,1.662,0.642,0.460005,1.99192,2.5
140,82,12.33742425,35,5.5,83.46173333,9.6769,2.295,1.97,1.36,0.42668,3.88539,2.8
141,86,6.674328,14.5,5.166666667,30.64595367,11.52228333,2.865,1.716666667,0.893333333,0.48449,1.47116,4.8
142,92,10.207992,11.3,4.75,22.212725,10.93895,2.755,1.742,0.91,0.49072,0.93396,6.8
143,86,8.841328,14.33333333,5.333333333,30.61252,11.35476667,2.806666667,1.716666667,0.89,0.482156667,1.35155,5.5
144,100,10.207996,10,4.8,20.29889263,11.33044,2.682,1.743,0.86,0.492736,0.94771,6
145,50,5.401996,10,4.8,20.016938,12.30176,2.774,1.648,0.88,0.491714,1.0804,5.5
146,622,41.060299,22.4,4.8,50.1811,10.993994,2.757,1.736,0.944,0.467568,4.57578,5.5
147,100,5.203996,10,4.8,20.29889263,11.17714,2.755,1.631,0.86,0.492739,0.67383,5.5
148,38,1.74316,12.66666667,5.333333333,26.02493544,13.65293333,2.926666667,1.556666667,0.866666667,0.48039,1.96268,4.8
149,110,23,50.33333333,4.666666667,121.0227333,8.604266667,2.073333333,2.096666667,1.366666667,0.42632,7.715,2.5
150,80,7.558488,10,4.8,20.29889263,12.04083,2.755,1.75,0.91,0.492719,0.7176,5.5
151,58,11.874,19.33333333,4,39.98766667,9.5408,2.33,1.88,1.136666667,0.487833333,1.36058,5.8
152,222,41.181992,25.88888889,4.444444444,57.08166,11.13210222,2.837777778,1.763333333,0.973333333,0.47783,4.5665,6
153,410,32.98438375,9.761904762,4.714285714,19.68198292,11.65177619,2.813809524,1.686190476,0.827142857,0.520341429,0.8229,5.8
154,82,13.89,41,4,95.225235,9.08885,2.28,1.97,1.29,0.437,6.31755,2.5
155,52,4.073996,9.857142857,4.571428571,18.58636114,11.38162857,2.661428571,1.612857143,0.861428571,0.486791429,0.81739,7.8
156,72,10.803992,14,5,30.61252,10.6397,2.868,1.7,0.8525,0.48502,1.05428,7.5
157,30,2.70174775,7.5,4,14.99685963,11.7051,2.6725,1.495,0.71,0.6184925,2.28126,2.5
158,138,13.747992,12.6,4.8,24.789618,11.02384,2.644,1.794,0.892,0.498454,1.03881,6
159,112,13.053996,22.4,5.6,53.441338,12.0863,2.934,1.656,0.848,0.47907,2.04102,3.3
160,200,7.767992,7.4,4.4,15.69310028,10.73364,2.738,1.551,0.642,0.6456218,0.4325,6.8
161,131,24.529328,21.83333333,4.666666667,50.1315,11.8264,2.831666667,1.717666667,0.966666667,0.473696667,4.52755,6
162,163,23.346328,25.33333333,4.666666667,55.64164,11.66743333,2.871666667,1.716666667,0.973333333,0.472976667,2.74155,4.8
163,38,1.55316,12.66666667,5.333333333,26.02493544,13.65293333,2.986666667,1.75,0.98,0.482156667,1.05333,4
164,70,7.143328,10,4.285714286,20.32331386,10.42151429,2.687142857,1.685714286,0.897142857,0.489954286,1.89676,2.5
165,38,10.96,19.33333333,5.333333333,39.98766667,9.2708,2.381666667,1.943333333,1.193333333,0.487833333,1.9368,4.8
166,311,47.231992,31.5,4.25,70.86454625,9.251425,1.985,1.9072,1.2145,0.462985,6.5225,2
167,30,1.74316,10,5.333333333,20.76693544,11.75455,2.926666667,1.556666667,0.866666667,0.487833333,0.75193,6
168,58,3.883996,11.6,4.8,23.231818,11.02384,2.644,1.794,0.96,0.499514,0.71879,4.8
169,86,9.133,20,4,43.498522,10.0743,2.115,1.905,1.12,0.479965,4.4815,3.8
170,131,18.952664,21.83333333,4.333333333,49.50308167,11.71171667,2.946666667,1.736,0.948333333,0.475888333,4.57578,6.5
171,134,13.053996,22,5,48.7195,12.0863,2.33,1.662,0.836,0.474324,1.86581,3.5
172,60,7.4428315,12,4.8,24.033618,12.63188,2.566,1.626,0.96,0.490654,1.54573,3.8
173,72,4.075328,13.33333333,4.666666667,27.95135333,11.33182,2.855,1.7,0.88,0.48825,1.05333,6.3
174,114,22.886328,16.28571429,4.285714286,34.43801714,11.38162857,2.724285714,1.738571429,0.897142857,0.484284286,2.2928,6
175,124,13.355328,20.66666667,5,46.44374833,11.67401667,2.901666667,1.875,0.92,0.484473333,4.30067,5.5
176,410,32.807971,10,4.78125,20.18188193,10.98867188,2.611875,1.794375,0.94625,0.493379375,0.70941,5.5
177,220,41.181992,24.44444444,4.666666667,57.08166,11.63446667,2.83,1.733333333,0.915555556,0.474726667,4.57578,6
178,146,8.862328,24.5,5,68.16233625,11.6104,2.84875,1.788125,0.94625,0.468765,1.86069,6.5
179,100,7.767992,10,5,20.15577185,11.64556,2.825,1.714,0.882,0.495275,0.6267,4.3
180,46,10.65,23,4,48.7195,9.706,2.295,1.955,1.22,0.474324,5.325,2.5
181,74,9.683996,14.4,4.8,31.5746356,10.75912,2.684,1.732,0.9,0.48827,0.26619,6.3
182,60,7.4428315,10,5.333333333,20.32523675,12.60236667,2.98,1.714,0.89,0.489506667,1.86069,4
183,108,8.505992,10.8,4.8,20.077018,11.33044,2.706,1.678,0.892,0.492719,0.67922,5.5
184,36,8.841328,18,4,37.346215,10.629,2.67,1.745,0.905,0.48855,0.85549,5.5
185,114,7.767992,14.4,4.8,30.341818,10.629,2.694,1.75,0.914,0.48273,1.027,5.5
186,280,25.721328,24.66666667,4.333333333,50.1315,11.33182,2.77,1.686666667,0.996666667,0.473746667,4.5665,3
187,42,7.44274775,7.5,4,14.99685963,11.7051,2.6725,1.495,0.71,0.6184925,0.7901,4
188,250,38.109964,10.54545455,4.909090909,21.21188623,11.2520375,2.695454545,1.763636364,0.8925,0.497225909,0.51006,5.3
189,116,9.143996,11,4.8,24.789618,11.61422,2.752,1.736,0.946,0.48855,1.03544,6
190,28,0.973995,14,4,29.21788464,9.01375,2.295,2.045,1.36,0.42668,0.6795,2
191,74,13.385996,23,4.8,49.496,9.08885,2.24,1.88,1.195,0.477665,3.958,3.8
192,126,13.385996,25.2,5.6,58.303418,11.61422,2.884,1.662,0.828,0.467568,2.62853,2.3
193,63,12.324,12,4,26.2038268,12.12276,2.848,1.652,0.864,0.556837333,1.12352,5.5
194,46,8.42666,23,4,49.496,10.629,2.665,1.7775,0.945,0.474324,1.46035,4
195,100,5.203996,10,4.8,20.99412653,12.59399,2.675,1.736,0.964,0.475954,0.49717,2.5
196,87,20.834,21.75,3.75,45.87725,9.0872,2.2225,1.9,1.135,0.47899,2.9768,3.8
197,82,12.417996,42.8,5.6,102.82756,9.1302,2.352,1.82,1.104,0.447885,2.95341,2
198,255.44,24.945976,11.38461538,4.782608696,23.70020296,10.95316385,2.55,1.701304348,0.859782609,0.493650435,1.46035,5
199,100,7.5581595,8,4.418803419,16.12007907,11.66630833,2.5725,1.590704648,0.818333333,0.548531111,0.65306,6.5
200,102,17.623984,12.2,4.8,25.38655689,10.78917,2.752,1.788,0.946,0.485063,1.80256,6
201,36,8.903332,18,4,37.346215,10.629,2.675,1.736,0.905,0.48855,1.3124,5.5
202,156,23.346328,26,5.166666667,61.11733333,11.77173333,2.885,1.726666667,0.923333333,0.4704,3.8764,5.5
203,112,13.551332,18.66666667,4.5,40.968055,11.27966667,2.763333333,1.763333333,0.98,0.480008333,1.775,6
204,108,10.507072,10.8,5.6,20.49244912,11.02384,2.884,1.904,0.928,0.4957955,1.66969,6.8
205,100,6.073996,9,4.8,18.60817185,11.79886,2.796,1.728,0.896,0.499196,0.66533,3.5
206,46,13.385996,23,4,48.7195,11.28095,2.545,1.765,0.965,0.47754,2.53985,2.5
207,60,9.773996,12,4.8,25.077338,12.30176,2.764,1.742,0.98,0.49618,1.182,6
208,68,9.107996,13.6,4.4,29.525338,11.11696,2.738,1.742,0.928,0.48502,1.38084,5.5
209,92,6.697992,9.2,4.8,18.439538,11.79886,2.805,1.656,0.848,0.499726,0.5852,2
210,64,10.207996,12,4,24.50301875,11.1479375,2.705,1.72625,0.945,0.49463625,0.83076,6
211,180,11.463996,9,4.8,18.439538,11.79886,2.675,1.656,0.836,0.499726,0.67383,3.8
212,58,6.332664,19.33333333,4.666666667,39.98766667,9.5408,2.33,1.88,1.106666667,0.487833333,1.92725,6.3
213,100,15.593,50,4,117.386335,9.01375,2.295,2.045,1.36,0.42668,7.316,1.8
214,407,34.092963,13.05294118,4.87804878,29.15111217,11.22030976,2.695121951,1.710487805,0.827052947,0.495746829,2.06989,5
215,58,6.697992,13.33333333,4.666666667,27.12564571,11.95683333,2.566,1.765833333,0.88,0.48802,1.27478,2.5
216,63,14.632,12.6,4.8,26.2038268,11.288,2.754,1.742,0.87,0.49072,1.22872,6
217,104,23.312328,17.33333333,5.166666667,39.568056,11.71171667,2.81,1.726666667,0.883333333,0.486506667,2.0416,5.8
218,70,7.143328,10.57142857,4.571428571,20.32331386,10.96777143,2.685714286,1.737142857,0.908571429,0.493918571,0.82898,7.8
219,131,26.962328,21.83333333,4.333333333,50.46236067,11.6284,2.706666667,1.896666667,1.16,0.470563333,6.7765,2
220,33,7.441332,11.3,4,23.09969493,10.52605,2.495,1.785,0.896,0.47754,1.8216,5.5
221,30,5.60439975,20,4.666666667,40.86454625,11.33044167,2.6253125,1.625,1.2375,0.496691667,0.6415,6.8
222,94,11.35441075,15.5,5,33.739258,11.026725,2.8,1.725,0.896,0.486236,3.8764,5.5
223,60,9.143996,12,4.8,25.077338,11.90972,2.884,1.662,0.792,0.490932,1.83476,7.8
224,36,1.7,18,4,36.0685,8.2366,1.79,2.055,1.39,0.499,1.0608,4
225,92,7.558488,13.9,4.65,29.68067862,11.100835,2.682,1.7775,0.945,0.491714,1.24952,6.3
226,83,5.62148,10.71428571,4.285714286,22.35173143,10.73008571,2.611428571,1.662857143,0.908571429,0.498002857,1.3513,5
227,100,7.558488,8.4,4.8,16.862138,11.33044,2.675,1.545,0.91,0.59185,0.45749,4.3
228,136,9.509324,9.666666667,4.666666667,19.39735333,11.71171667,2.636666667,1.736666667,0.925,0.496043333,0.83076,6
229,72,4.073996,14.4,4.2,29.568292,11.90626,2.828,1.631,0.86,0.49072,0.94127,6.3
230,114,19.382,22.8,5.6,49.204038,9.65936,2.368,1.904,1.184,0.45825,3.8764,1.8
231,151,22.98,50.33333333,4.333333333,121.0227333,8.054,2.043333333,2.076666667,1.363333333,0.41692,7.66667,1.8
232,66,4.542664,13,4,27.95135333,11.37321667,2.845,1.723333333,0.973333333,0.472266667,1.11572,6
233,80,7.73466,10,5,20.25527838,11.026725,2.79,1.6725,0.8525,0.495275,0.84233,7
234,185,27.104327,46,4,113.1572575,8.71425,2.24,1.91,1.185,0.4442925,7.01317,2.5
235,250,14.485992,12,4.8,25.023328,10.73364,2.694,1.688,0.928,0.48827,0.93673,6
236,198,13.9558185,7.92,4.16,15.69310028,12.046624,2.7136,1.546,0.7152,0.6164428,0.53898,5
237,72,5.876908,10.4,4.484848485,21.98931204,10.94576061,2.627272727,1.705,0.911818182,0.508796061,1.08186,3.5
238,60,12.417996,12,4.8,26.2038268,11.33044,2.706,1.678,0.892,0.492736,1.89676,6
239,214,25.494,42.8,5.6,102.82756,9.1302,2.308,1.88,1.104,0.45825,6.77608,2
240,80,7.73466,10,5,20.25527838,11.026725,2.79,1.6725,0.914,0.495275,0.78135,2.8
241,78,4.542664,12.66666667,5.333333333,26.62168667,11.35476667,2.806666667,1.751666667,0.92,0.486506667,1.35155,5.8
242,90,1.7428315,5,4,10.59988,12.41584,2.518,1.394,0.664,0.6497568,0.6278,2
243,58,9.133,14.33333333,4.8,29.525338,11.29003333,2.545,1.727,0.893333333,0.472266667,1.96919,2.5
244,36,1.7428315,18,4,37.27215,8.65415,2.295,1.9,1.3,0.462985,2.74155,6
245,100,7.900992,10,4.8,20.21334878,11.33044,2.752,1.763,0.946,0.491604,0.81244,6
246,100,7.558488,10,4.8,20.29889263,12.04083,2.755,1.736,0.91,0.495736,0.86021,5.5
247,100,8.229328,10,4.8,20.016938,11.64556,2.755,1.626,0.882,0.499726,0.8229,6
248,72,8.147992,12,4.8,24.808518,11.17714,2.644,1.736,0.944,0.4946015,0.70329,5.8
249,100,7.558488,10,4.8,20.29889263,12.04083,2.755,1.688,0.91,0.492736,0.80625,5.5
250,40,2.3341635,6.666666667,4.666666667,13.01612833,12.70046667,2.77,1.476666667,0.616666667,0.663796667,0.11548,4
251,196,30.91,23.5,5.3,53.4902975,10.13144,2.279,1.859,1.15,0.457149,3.87311,1.5
252,90,18.20589925,18,5,37.27215,11.79886,2.826,1.54375,0.864,0.449615,2.54439,3.3
253,112,13.747992,24.4,4.8,53.441338,11.91369,2.752,1.7,0.928,0.47754,4.86552,5.5
254,82,10.507072,21,4,47.31542253,9.65936,2.165,2.01,1.12,0.477665,2.9768,2.8
